Film,Year released,First watched,Category,Context
Bridge to Terabithia,2007,2014,,also watched in Year 9 CE
The Lego Movie,2014,2014,Family,"In cinemas, also at Year 6 camp"
Harry Potter and the Chamber of Secrets,2002,2012,Harry Potter,
Harry Potter and the Prisoner of Azkaban,2001,2012,Harry Potter,Friend's house
Spiderman: No Way Home,2021,2021,Superhero,In cinemas
Shang Chi and the Legend of the Ten Rings,2021,2021,Superhero,In cinemas
Eternals,2021,2021,Superhero,In cinemas
A Quiet Place 2,2021,2021,,In cinemas
Sonic the Hedgehog,2020,2021,Family,
Wonder Woman 1984,2020,2020,Superhero,In cinemas
Frozen 2,2019,2020,Family,
The Grinch,2018,2020,Christmas,TV film
The Queen,2006,2020,,Year 12 English
Pride and Prejudice,2005,2020,,
Home Alone,1990,2020,Christmas,
And then there were none,1974,2020,,
Avengers: Endgame,2019,2019,Superhero,In cinemas
Star Wars: The Rise of Skywalker,2019,2019,Star Wars,In cinemas
The Lion King,2019,2019,Family,In cinemas
Toy Story 4,2019,2019,Family,In cinemas
Aladdin,2019,2019,,In cinemas
Tangled,2010,2019,,
Cars,2006,2019,Family,
Blood Diamond,2006,2019,,Year 11 CE
The Return of the King,2003,2019,LOTR,
Spirited Away,2001,2019,Anime,
Snow White and the Seven Dwarves,1937,2019,Family,
17 Again,2009,2018,,TV film
Mortal Engines,2018,2018,,In cinemas
Avengers: Infinity War,2018,2018,Superhero,In cinemas
Sometimes Always Never,2018,2018,,In cinemas
Incredibles 2,2018,2018,Family,In cinemas
Peter Rabbit,2018,2018,Family,In cinemas
Ready Player One,2018,2018,,In cinemas
Instant Family,2018,2018,,Year 10 Immersion
Despicable Me 3,2017,2018,Family,On a plane
The Other Guys,2010,2018,,Year 10 Immersion
Casino Royale,2006,2018,James Bond,On a plane
The Incredibles,2004,2018,Family,After seeing incredibles 2
The Two Towers,2002,2018,LOTR,
The Fellowship of the Ring,2001,2018,LOTR,
Gattaca,1997,2018,,Year 10 Biology
The Simpsons Movie,2011,2017,,On a plane
Revenge of the Sith,2005,2017,Star Wars,TV film
Indiana Jones and the Last Crusade,1989,2017,Indiana Jones,TV film
Beauty and the Beast,2017,2017,Family,In cinemas
Guardians of the Galaxy Vol. 2,2017,2017,,
Darkest Hour,2017,2017,Historical,In cinemas
The Post,2017,2017,Historical,In cinemas
Skyfall,2012,2017,James Bond,On a plane
Kung Fu Panda 2,2011,2017,Family,TV film
Kung Fu Panda,2008,2017,Family,TV film
A Series of Unfortunate Events,2004,2017,,TV film
Artificial Intelligence,2001,2017,,Year 9 CE
Stand By Me,1986,2017,,Year 9 CE
Gallipoli,1981,2017,,Year 9 History
Harry Potter and the Deathly Hallows Part 1,2010,2016,Harry Potter,TV film
Harry Potter and the Half Blood Prince,2009,2016,Harry Potter,TV film
Harry Potter and the Order of the Phoenix,2007,2016,Harry Potter,TV film
Miss Peregine's Home for Peculiar Children,2016,2016,,In cinemas
Kung Fu Panda 3,2016,2016,Family,In cinemas
Zootopia,2016,2016,Family,In cinemas
Finding Dory,2016,2016,Family,In cinemas
La La Land,2016,2016,,In cinemas
The Black Balloon,2008,2016,,Year 9 English
Atlantis: The Lost Empire,2001,2016,,
Rush Hour,1998,2016,,Year 8 Chinese
Return of the Jedi,1983,2016,Star Wars,
Star Wars: The Force Awakens,2015,2015,Star Wars,In cinemas
The Martian*,2015,2015,Sci-Fi,In cinemas
Minions,2015,2015,Family,In cinemas
Inside Out,2015,2015,,In cinemas
Jurassic World,2015,2015,,In cinemas
Frozen,2014,2015,Family,Friend's house
Iron Man 3,2013,2015,Superhero,TV film
Supervolcano,2005,2015,,Year 7 English
The Truman Show,1998,2015,,Year 8 English
Back to the Future III,1990,2015,BTTF,
Back to the Future II,1989,2015,BTTF,
Back to the Future,1985,2015,BTTF,
Raiders of the Lost Ark,1981,2015,Indiana Jones,Year 7 English
The Empire Strikes Back,1980,2015,Star Wars,Year 7 English
Star Wars (A New Hope),1977,2015,Star Wars,Year 7 English
"The Lion, The Witch and the Wardrobe",2005,2015,,Year 7 English
Mr Peabody and Sherman,2014,2014,,Year 6 primary school film
Night at the Museum II,2014,2014,,In cinemas
Big Hero 6,2014,2014,Family,Year 6 Graduation
Meet the Robinsons,2007,2014,,Year 6 primary school film
National Treasure,2004,2014,,Year 6 primary school film
Harry Potter and the Deathly Hallows Part 2,2011,2013,Harry Potter,Friend's house
Despicable Me 2,2013,2013,Family,In cinemas
High School Musical,2006,2013,,Year 5 primary school film
E.T.,1982,2012,,Primary school
The Sound of Music,1965,2012,Family,Primary school
Toy Story 3,2010,2012,Family,TV film
Harry Potter and the Goblet of Fire,2005,2012,Harry Potter,Friend's house
Harry Potter and the Philosopher's Stone,2004,2012,Harry Potter,Friend's house
