Film,Year released,First watched,Category,Context
Spiderman: No Way Home,2021,2021,Superhero,In cinemas
Shang Chi and the Legend of the Ten Rings,2021,2021,Superhero,In cinemas
Eternals,2021,2021,Superhero,In cinemas
A Quiet Place 2,2021,2021,,In cinemas
Sonic the Hedgehog,2020,2021,Family,
Wonder Woman 1984,2020,2020,Superhero,In cinemas
Frozen 2,2019,2020,Family,
Avengers: Endgame,2019,2019,Superhero,In cinemas
Star Wars: The Rise of Skywalker,2019,2019,Star Wars,In cinemas
The Lion King,2019,2019,Family,In cinemas
Toy Story 4,2019,2019,Family,In cinemas
Aladdin,2019,2019,,In cinemas
The Grinch,2018,2020,Christmas,TV film
Mortal Engines,2018,2018,,In cinemas
Avengers: Infinity War,2018,2018,Superhero,In cinemas
Sometimes Always Never,2018,2018,,In cinemas
Incredibles 2,2018,2018,Family,In cinemas
Peter Rabbit,2018,2018,Family,In cinemas
Ready Player One,2018,2018,,In cinemas
Instant Family,2018,2018,,Year 10 Immersion
Despicable Me 3,2017,2018,Family,On a plane
Beauty and the Beast,2017,2017,Family,In cinemas
Guardians of the Galaxy Vol. 2,2017,2017,,
Darkest Hour,2017,2017,Historical,In cinemas
The Post,2017,2017,Historical,In cinemas
Coco,2017,2017,Family,In cinemas
Miss Peregine's Home for Peculiar Children,2016,2016,,In cinemas
Kung Fu Panda 3,2016,2016,Family,In cinemas
Zootopia,2016,2016,Family,In cinemas
Finding Dory,2016,2016,Family,In cinemas
La La Land,2016,2016,,In cinemas
Moana,2016,2019,Family,
The BFG,2016,2016,,In cinemas
Star Wars: The Force Awakens,2015,2015,Star Wars,In cinemas
The Martian*,2015,2015,Sci-Fi,In cinemas
Minions,2015,2015,Family,In cinemas
Inside Out,2015,2015,,In cinemas
Jurassic World,2015,2015,,In cinemas
Mockingjay Part 2,2015,2015,HG,In cinemas
The Lego Movie,2014,2014,Family,"In cinemas, also at Year 6 camp"
Frozen,2014,2015,Family,Friend's house
Mr Peabody and Sherman,2014,2014,,"At primary school, Year 6"
Night at the Museum II,2014,2014,,In cinemas
Big Hero 6,2014,2014,Family,"In cinemas, at Year 6 Graduation"
Mockingjay Part 1,2014,2015,HG,
Iron Man 3,2013,2015,Superhero,TV film
Despicable Me 2,2013,2013,Family,In cinemas
Monsters University,2013,2015,,TV film
Catching Fire,2013,2015,HG,
Skyfall,2012,2017,James Bond,On a plane
Diary of a Wimpy Kid: Rodrick Rules,2012,2012,Family,In cinemas
The Hunger Games,2012,2015,HG,
The Simpsons Movie,2011,2017,,On a plane
Kung Fu Panda 2,2011,2017,Family,TV film
Harry Potter and the Deathly Hallows Part 2,2011,2013,Harry Potter,Friend's house
Johnny English Reborn,2011,2011,,In cinemas
Transformers: Dark of the Moon,2011,2011,,In cinemas
Gnomeo and Juliet,2011,2011,,"At primary school, Year 3"
Tangled,2010,2019,,
The Other Guys,2010,2018,,Year 10 Immersion
Harry Potter and the Deathly Hallows Part 1,2010,2016,Harry Potter,TV film
Toy Story 3,2010,2012,Family,TV film
Despicable Me,2010,2010,Family,"In cinemas, primary school birthday party"
17 Again,2009,2018,,TV film
Harry Potter and the Half Blood Prince,2009,2016,Harry Potter,TV film
Up,2009,2009,Family,In cinemas
Cloudy with a Chance of Meatballs,2009,2009,,"In cinemas, Year 1 primary school excursion"
Kung Fu Panda,2008,2017,Family,TV film
The Black Balloon,2008,2016,,Year 9 English
Horton Hears a Who!,2008,2008,Family,In cinemas
WALL-E,2008,2008,,In cinemas
Bridge to Terabithia,2007,2014,,"TV film, also in Year 9 CE"
Harry Potter and the Order of the Phoenix,2007,2016,Harry Potter,TV film
Meet the Robinsons,2007,2014,,"At primary school, Year 6"
Alvin and the Chipmunks,2007,2010,Christmas,"At primary school, early years"
The Queen,2006,2020,,Year 12 English
Cars,2006,2019,Family,
Blood Diamond,2006,2019,,Year 11 CE
Casino Royale,2006,2018,James Bond,On a plane
High School Musical,2006,2013,,"At primary school, Year 5"
Happy Feet,2006,2009,,"At primary school, early years"
Pride and Prejudice,2005,2020,,
Revenge of the Sith,2005,2017,Star Wars,TV film
Supervolcano,2005,2015,,Year 7 English
"The Lion, The Witch and the Wardrobe",2005,2015,,Year 7 English
Harry Potter and the Goblet of Fire,2005,2012,Harry Potter,Friend's house
The Incredibles,2004,2018,Family,After seeing incredibles 2
A Series of Unfortunate Events,2004,2017,,TV film
National Treasure,2004,2014,,"At primary school, Year 6"
Harry Potter and the Philosopher's Stone,2004,2012,Harry Potter,Friend's house
The Polar Express,2004,2012,Christmas,"At primary school, early years"
The Passion of the Christ*,2004,2020,,Year 12 CE
The Return of the King,2003,2019,LOTR,
Finding Nemo,2003,2010,Family,"At primary school, early years"
Harry Potter and the Chamber of Secrets,2002,2012,Harry Potter,
The Two Towers,2002,2018,LOTR,
Rabbit Proof Fence,2002,2012,,"At primary school, Year 4"
Harry Potter and the Prisoner of Azkaban,2001,2012,Harry Potter,Friend's house
Spirited Away,2001,2019,Anime,
The Fellowship of the Ring,2001,2018,LOTR,
Artificial Intelligence,2001,2017,,Year 9 CE
Atlantis: The Lost Empire,2001,2016,,
Monsters Inc.,2001,2015,,TV film
How the Grinch stole Christmas,2000,2010,,"At primary school, early years"
Toy Story 2,1999,2010,Family,"At primary school, early years"
Rush Hour,1998,2016,,Year 8 Chinese
The Truman Show,1998,2015,,Year 8 English
A Bug's Life,1998,2012,Family,Year 4 school excursion to IMAX
Gattaca,1997,2018,,Year 10 Biology
Romeo + Juliet,1996,2017,,Year 9 English
Toy Story,1995,2009,Family,"At primary school, Year 1 Concert break"
The Lion King,1994,2012,Family,"At primary school, Year 4"
Aladdin,1992,2012,Family,"At primary school, early years"
Beauty and the Beast,1991,2010,Family,"At primary school, early years"
Home Alone,1990,2020,Christmas,TV film
Back to the Future III,1990,2015,BTTF,TV film
Indiana Jones and the Last Crusade,1989,2017,Indiana Jones,TV film
Back to the Future II,1989,2015,BTTF,TV film
Stand By Me,1986,2017,,Year 9 CE
Laputa: Castle in the Sky,1986,2008,Anime,Friend's house
Back to the Future,1985,2015,BTTF,TV film
Return of the Jedi,1983,2016,Star Wars,
E.T.,1982,2012,,Rewatched many times
Gallipoli,1981,2017,,Year 9 History
Raiders of the Lost Ark,1981,2015,Indiana Jones,Year 7 English
The Empire Strikes Back,1980,2015,Star Wars,Year 7 English
Star Wars (A New Hope),1977,2015,Star Wars,Year 7 English
And Then There Were None,1974,2021,,TV film
Romeo and Juliet,1968,2017,,Year 9 English
The Sound of Music,1965,2012,Family,Rewatched many times
Snow White and the Seven Dwarves,1937,2019,Family,
